,text_q,text_a,Adults,Chickenpox vaccines,Diphtheria,General immunization,HPV vaccines,Hepatitis A vaccine,Hepatitis B vaccine,Immunization records,Infants & young children,Influenza vaccines,Measles,Meningococcal vaccines,Other,Pneumococcal vaccines,Pregnancy,Rotavirus Vaccines,School-age children & teens,Shingles vaccines,TB skin test,Travel vaccines,Vaccine Schedules,Vaccine ingredients,Vaccine safety,Where to get immunized,mumps and rubella vaccines,tetanus and pertussis vaccines
0,"My son, 9 has his shots including his kindergarten chicken pox. His doc suggested I look into the need for a chicken pox booster. Is a secondary chicken pox vaccine recommended?
","The chickenpox vaccine is given to children as a series of two doses. The first dose is given at 12 months of age and the second dose at 4 to 6 years of age.  If your son has received 2 doses of chickenpox vaccine, he has received the recommended amount. If he has only received one, please contact your immunization provider. You will find more information about chicken pox here.
Immunization Nurse
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"I have never had chicken pox, even tho, as a child, all my siblings had the disease. Should I be getting the vaccine now, at age 73? Should I be getting the Shingles vaccine?
","Nearly all Canadians 50 years of age and older will have had chickenpox, even if it cannot be recalled. Routine serological (blood) testing is not recommended. SHINGRIX® is indicated for the prevention of shingles in individuals 50 years of age and older with prior chickenpox infection.  There is no known safety risk associated with vaccination of healthy individuals who are non-immune to chickenpox with SHINGRIX®. Learn about the shingles vaccines here.
In BC, it is rare for individuals 50 years of age and older to need the chickenpox vaccine. Speak with a public health nurse at your local health unit. Find a location near you here.
Immunization Nurse
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,"Can someone who's sick come here on an emergency basis? Possibly with pneumonia or should that person go to Vernon hospital?
","ImmunizeBC is an online immunization information resource for the public and does not provide health care services. HealthLinkBC has nurses available anytime by calling 8-1-1, and they will help you get the information you need to manage your health concerns or those of your family.
In the event of a medical emergency, call 9-1-1, or your local emergency number.
Immunization Nurse
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Is it okay to administer a Measles Vaccine despite the 2 year old patient having a pneumonia without any record of the said vaccine?
","Children can usually get vaccinated if they have a mild common illness like a cold, ear infection, or diarrhea. Mild common diseases do not interfere with the immune response to vaccines and do not increase the risk of adverse events following immunization. Children taking antibiotics can also receive vaccines as antibiotics do not interfere with the immune response to the vaccine. If you have questions about whether or not your child should be vaccinated, we recommend that you speak with your immunizing health care provider.
If you have concerns about your child's current health, you can talk with a nurse at HealthLinkBC by calling 8-1-1.
Immunization Nurse
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,"I did not immunize my child as an infant. She is now six and I have changed my stance. Can she be immunized now?
","Yes. You can make an appointment at your local public health unit to have your child immunized.  A public health nurse can recommend and provide your child's vaccines and answer any questions you may have.  You can find the contact information for your local public health unit here: http://immunizebc.ca/finder. 
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"I am interested in getting the Shingles vaccine. Is this a vaccine that you do, or can you advise on where I should go (GP?). I understand that there is a cost for it.
","You can purchase and receive either of the shingles vaccines at most travel clinics and pharmacies. Some health insurance plans may cover the cost of the vaccine; you can check with your provider for this information. Learn more about the shingles vaccines here.
- Immunization Nurse
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,"My daughter requires the following immunizations for school: tetanus, bovine tuberculosis, rabies, meningitis C, mumps. Can she get these at the public health unit?
","Within BC, services differ from one area to the next. We recommend that you contact your local health unit to discuss what options are available in your community.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"My son is sick. Can he still get his immunizations?
","In general, there is no need to delay getting immunized because of a cold or other mild illness. However, if you have concerns it's encouraged that you speak with your health care provider.
Immunization Nurse
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Does MSP cover the cost of Prevnar 13 for seniors over 65?
","In BC, Pneumovax® 23€Ž (Pneu-P-23) vaccine is publicly funded (free) for seniors over the age of 65. Prevnar® 13 (Pneu-C-13) is free for adults at high risk of pneumococcal disease due to receipt of HSCT (blood and marrow transplant) and HIV infection. Learn about these vaccines here.
Immunization with Pneu-C-13 vaccine may be considered and purchased on an individual basis for seniors 65 years of age and older. Discuss this vaccine with your health care provider. Learn about vaccines for adults here. You can get free vaccines from your local health unit, most pharmacies and some doctors' offices. You can purchase non-publicly funded vaccines at most pharmacies and travel clinics. Services vary throughout BC.
Immunization Nurse
",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9,"What percentage of girls have been vaccinated in British Columbia? How many parents actually consented to have their daughter(s) vaccinated?
","You can find Immunization Coverage Reports for British Columbia here.  
We do not have specific data regarding consent.  However, vaccines are not administered without first obtaining informed consent from a parent/guardian, representative or mature minor.  
Mature Minor Consent:
It is recommended that parents or guardians and their children discuss consent for immunization. Efforts are first made to seek parental/guardian or representative consent prior to immunization. However, children under the age of 19, who are able to understand the benefits and possible reactions for each vaccine and the risk of not getting immunized, can legally consent to or refuse immunizations.  
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
