,text,Adults,Chickenpox vaccines,Diphtheria,General immunization,HPV vaccines,Hepatitis A vaccine,Hepatitis B vaccine,Immunization records,Infants & young children,Influenza vaccines,Measles,Meningococcal vaccines,Other,Pneumococcal vaccines,Pregnancy,Rotavirus Vaccines,School-age children & teens,Shingles vaccines,TB skin test,Travel vaccines,Vaccine Schedules,Vaccine ingredients,Vaccine safety,Where to get immunized,mumps and rubella vaccines,tetanus and pertussis vaccines
0,"My son took the first doses of Diphtheria, Tetanus, Pertussis, Hepatitis B, Polio, and Haemophilus influenzae type b (DTaP-HB-IPV-Hib) Vaccine, Rotavirus Vaccine, and Pneumococcal Conjugate (PCV 13) Vaccine in Jordan. Can he continue the second doses or will he need to restart the immunizations?
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"How long do you have to wait after receiving the MMR vaccine to visit a person who is immunocompromised (no immune system)?
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,"Born 1963 and understand I may require a booster? Is it drop in or do I require an appointment?
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,"I have recently received MMR and require a tuberculin skin test. How long do I need to wait after my MMR booster to do the skin test?
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,"I am scared to death about vaccines mostly because of conspiracys my son is now 2.5 years what is a vaccine I must get him or can get him now? That is the safest.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,"We do not have the Meningococcal C Conjugate (Men-C) and Pneumococcal Conjugate (PCV 13) Vaccines in Jordan and when we arrive to BC my son will be 3.5 months old, so can he take the first dosage of these vaccines at 3.5 months instead of 2 months?
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"I need to get an MMR, flu shot, and TB skin test... what should the timing of these be? Can I get a TB skin test a few days after the flu shot?
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,"Hi there - why is MMRV not approved to be used in clients over 13?
",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,"Is the Tdap vaccine live?
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,"I would like to get twinrix immunization but I understand it's not covered by MSP. How much will my doctor charge me?
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,"Hello: given increasing spam I would like to know whether this txt is genuine: Dear Patient, this is a reminder to fill out 1 qnaire. - https://quick.inputhealth.com/ca_j6zog_u6 Regards, VCH Travel Clinic Staff (reply STOP to unsubscribe)
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Heard that it would be a bad flu season. I am 62 and married to a 74 man with myeloma. I am retired and have limited funds. Can I get a free flu shot through BC medical?
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"My son received his four month shots six days ago, today I noticed a hard lump/mass under the skin, near the injection site. Is this normal?
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Do the different health regions share immunization info? My child has been fully vaccinated, but I believe my child's online record is incomplete because he was vaccinated in 2 different regions (Vancouver/Vancouver Coastal Health & Delta/Fraser Health)
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,"Hi, my son is going to be 2 in november. His vaccines are all up to date but i dont have a written proof because i got them done in india. What should i do?
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Where do i get the numbing cream for my kids before they get the flu shot?
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Why is immunization taken on the upper arm swollen after a long period of time
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,"Do I need a prescription for the TDaP, or can we just come in and request it?
",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
